TIA,TIA,Tirana,Tirana,Albania
OTP,OTP,Bucharest Henri Coanda,Bucharest,Romania
CLJ,CLJ,Cluj-Napoca,Cluj-Napoca,Romania
IAS,IAS,Iasi,Iasi,Romania
SBZ,SBZ,Sibiu,Sibiu,Romania
TSR,TSR,Timisoara,Timisoara,Romania
KRR,KRR,Krasnodar,Krasnodar,Russia
DME,MOW,Moscow Domodedovo,Moscow,Russia
SVO,MOW,Moscow Sheremetyevo,Moscow,Russia
VKO,MOW,Moscow Vnukovo,Moscow,Russia
LED,LED,Saint Petersburg Pulkovo,Saint Petersburg,Russia
AER,AER,Sochi,Sochi,Russia
BEG,BEG,Belgrade Nikola Tesla,Belgrade,Serbia
INI,INI,Nish,Nish,Serbia
BTS,BTS,Bratislava,Bratislava,Slovakia
KSC,KSC,Kosice,Kosice,Slovakia
LJU,LJU,Ljubljana,Ljubljana,Slovenia
ALC,ALC,Alicante,Alicante,Spain
LEI,LEI,Almeria,Almeria,Spain
OVD,OVD,Asturias,Asturias,Spain
BCN,BCN,Barcelona,Barcelona,Spain
BIO,BIO,Bilbao,Bilbao,Spain
FUE,FUE,Fuerteventura,Fuerteventura,Spain
GRO,GRO,Girona,Girona,Spain
LPA,LPA,Gran Canaria,Gran Canaria,Spain
GRX,GRX,Granada-Jaen,Granada,Spain
GRX,GRX,Granada-Jaen,Jaen,Spain
IBZ,IBZ,Ibiza,Ibiza,Spain
XRY,XRY,Jerez,Jerez,Spain
SPC,SPC,La Palma,La Palma,Spain
ACE,ACE,Lanzarote,Lanzarote,Spain
MAD,MAD,Madrid Barajas,Madrid,Spain
AGP,AGP,Malaga,Malaga,Spain
MAH,MAH,Menorca,Menorca,Spain
PMI,PMI,Palma de Mallorca,Palma de Mallorca,Spain
RMU,RMU,Region de Murcia,Region de Murcia,Spain
REU,REU,Reus,Reus,Spain
SDR,SDR,Santander,Santander,Spain
SCQ,SCQ,Santiago de Compostela,Santiago de Compostela,Spain
SVQ,SVQ,Seville,Seville,Spain
TFN,TCI,Tenerife North,Tenerife,Spain
TFS,TCI,Tenerife South,Tenerife,Spain
VLC,VLC,Valencia,Valencia,Spain
ZAZ,ZAZ,Zaragoza,Zaragoza,Spain
GOT,GOT,Gothenburg Landvetter,Gothenburg,Sweden
GOT,GOT,Gothenburg Landvetter,Landvetter,Sweden
MMX,MMX,Malmoe,Malmoe,Sweden
ARN,STO,Stockholm Arlanda,Stockholm,Sweden
BMA,STO,Stockholm Bromma,Stockholm,Sweden
NYO,STO,Stockholm Skavsta,Stockholm,Sweden
BSL,BSL,Basel Mulhouse Freiburg,Basel,Switzerland
BSL,BSL,Basel Mulhouse Freiburg,Mulhouse,Switzerland
BSL,BSL,Basel Mulhouse Freiburg,Freiburg,Switzerland
GVA,GVA,Geneva,Geneva,Switzerland
ZRH,ZRH,Zurich,Zurich,Switzerland
ESB,ESB,Ankara Esenboga,Ankara,Turkey
ESB,ESB,Ankara Esenboga,Esenboga,Turkey
AYT,AYT,Antalya,Antalya,Turkey
COV,COV,Cukurova,Cukurova,Turkey
DLM,DLM,Dalaman,Dalaman,Turkey
IST,IST,Istanbul,Istanbul,Turkey
SAW,IST,Istanbul Sabiha Goekcen,Istanbul,Turkey
ADB,ADB,Izmir Adnan Menderes,Izmir,Turkey
BJV,BJV,Milas-Bodrum,Milas,Turkey
BJV,BJV,Milas-Bodrum,Bodrum,Turkey
TZX,TZX,Trabzon,Trabzon,Turkey
HRK,HRK,Kharkiv,Kharkiv,Ukraine
KBP,IEV,Kiev Boryspil,Kiev,Ukraine
IEV,IEV,Kiev Zhuliany,Kiev,Ukraine
LWO,LWO,Lviv,Lviv,Ukraine
ODS,ODS,Odessa,Odessa,Ukraine
ABZ,ABZ,Aberdeen,Aberdeen,United Kingdom
BHD,BFS,Belfast City,Belfast,United Kingdom
BFS,BFS,Belfast International,Belfast,United Kingdom
BHX,BHX,Birmingham,Birmingham,United Kingdom
BRS,BRS,Bristol,Bristol,United Kingdom
CWL,CWL,Cardiff,Cardiff,United Kingdom
EMA,EMA,East Midlands,East Midlands,United Kingdom
EDI,EDI,Edinburgh,Edinburgh,United Kingdom
EXT,EXT,Exeter,Exeter,United Kingdom
GLA,GLA,Glasgow,Glasgow,United Kingdom
PIK,GLA,Glasgow Prestwick,Glasgow,United Kingdom
JER,JER,Jersey,Jersey,United Kingdom
LBA,LBA,Leeds Bradford,Leeds,United Kingdom
LBA,LBA,Leeds Bradford,Bradford,United Kingdom
LPL,LPL,Liverpool,Liverpool,United Kingdom
LCY,LON,London City,London,United Kingdom
LGW,LON,London Gatwick,London,United Kingdom
LHR,LON,London Heathrow,London,United Kingdom
LTN,LON,London Luton,London,United Kingdom
SEN,LON,London Southend,London,United Kingdom
STN,LON,London Stansted,London,United Kingdom
MAN,MAN,Manchester,Manchester,United Kingdom
NCL,NCL,Newcastle,Newcastle,United Kingdom
SOU,SOU,Southampton,Southampton,United Kingdom
